year,3PA,3PCT,3PM,FGA,GSW3PM,GSW3PA,GSW3pct,C3PA,C3PCT
2024,37.6,0.36,13.5,89.2,15.4,42.4,0.364,48.2,0.368
2023,35.1,0.366,12.8,88.9,14.8,38.9,0.38,42.5,0.388
2022,34.2,0.361,12.3,88.3,16.6,43.2,0.385,42.6,0.377
2021,35.2,0.354,12.4,88.1,14.3,39.4,0.364,37.1,0.356
2020,34.6,0.367,12.7,88.4,14.6,38.7,0.376,36.4,0.374
2019,34.1,0.358,12.2,88.8,10.4,31.3,0.334,34.5,0.364
2018,32,0.355,11.4,89.2,13.3,34.4,0.385,34.5,0.365
2017,29,0.362,10.5,86.1,11.3,28.9,0.391,30.4,0.377
2016,27,0.358,9.7,85.4,12,31.2,0.383,33.4,0.359
2015,24.1,0.354,8.5,84.6,13.1,31.6,0.416,26.1,0.335
2014,22.4,0.35,7.8,83.6,10.8,27,0.398,24.6,0.327
2013,21.5,0.36,7.7,83,9.4,24.8,0.38,21.1,0.333
2012,20,0.359,7.2,82,8,19.9,0.403,17.2,0.358
2011,18.4,0.349,6.4,81.4,7.9,20.5,0.388,15,0.367
2010,18,0.358,6.5,81.2,8.4,21.3,0.392,13.6,0.365
2009,18.1,0.355,6.4,81.7,7.7,20.6,0.375,17.5,0.348
2008,18.1,0.367,6.6,80.9,6.7,18,0.373,16.5,0.397
2007,18.1,0.362,6.6,81.5,9.3,26.6,0.348,19.1,0.381
2006,16.9,0.358,6.1,79.7,8.5,24,0.356,15.6,0.367
2005,16,0.358,5.7,79,7.6,22.3,0.341,15.7,0.362
2004,15.8,0.356,5.6,80.3,7.6,21.6,0.352,15.3,0.349
2003,14.9,0.347,5.2,79.8,5.2,15.6,0.334,19.5,0.346
2002,14.7,0.349,5.1,80.8,5.2,15.1,0.344,26.3,0.334
2001,14.7,0.354,5.2,81.3,3.9,12.1,0.322,23.7,0.359
2000,13.7,0.354,4.8,80.6,3.4,11.8,0.293,19.9,0.363
1999,13.7,0.353,4.8,82.1,4.2,13,0.323,15.4,0.331
1998,13.2,0.339,4.5,78.2,3.2,11.3,0.287,15.2,0.36
1997,12.7,0.346,4.4,79.7,2.3,8.5,0.272,15.2,0.332
1996,16.8,0.36,6,79.3,5.9,16.6,0.353,16.2,0.351
1995,16,0.367,5.9,80.2,5.5,14.6,0.373,17.7,0.371
1994,15.3,0.359,5.5,81.5,6.7,19.5,0.341,12,0.368
1993,9.9,0.333,3.3,84.4,3.5,10.5,0.339,5.8,0.289
1992,9,0.336,3,86,3.6,10.4,0.35,4.7,0.287
1991,7.6,0.331,2.5,87.3,3.1,9.3,0.333,4.4,0.306
1990,7.1,0.32,2.3,87.2,3.3,9.8,0.337,4.2,0.315
1989,6.6,0.331,2.2,87.2,3,9.1,0.324,4.9,0.262
1988,6.6,0.323,2.1,89,2.4,7.7,0.308,3.8,0.252
1987,5,0.316,1.6,87.7,1.1,3.8,0.292,8.6,0.384
1986,4.7,0.301,1.4,88.8,1.4,4.4,0.319,6.9,0.366
1985,3.3,0.282,0.9,88.6,1.1,3.4,0.313,4.8,0.351
1984,3.1,0.282,0.9,89.1,1.4,4.8,0.282,3.8,0.356
1983,2.4,0.25,0.6,88.4,0.7,2.8,0.243,2.8,0.24
1982,2.3,0.238,0.5,89.7,0.4,1.8,0.227,2.3,0.21
1981,2.3,0.262,0.6,88.2,1.1,4,0.28,2.2,0.266
1980,2,0.245,0.5,88.4,0.7,2.6,0.286,2.9,0.27
1979,2.8,0.28,0.8,90.6,0.3,1.5,0.223,5.1,0.384
